Label,AllocatedBytes,GCs,LiveBytes,MaxBytes,MaxOSBytes,WallTime
"/Data.DeBruijn.Thinning/thin/samples1/[4,0b001001,6,0b0001100011,10]",272,0,496,0,0,8.45166970975697e-4
"/Data.DeBruijn.Thinning/thin/samples1/[4,0b100100,6,0b0001100011,10]",272,0,496,0,0,8.603750029578805e-4
"/Data.DeBruijn.Thinning/thin/samples1/[3,0b110100,6,0b0001100011,10]",272,0,496,0,0,8.702499326318502e-4
"/Data.DeBruijn.Thinning/thin/samples1/[2,0b111001,6,0b0001100011,10]",272,0,496,0,0,8.646670030429959e-4
"/Data.DeBruijn.Thinning/thin/samples1/[3,0b111000,6,0b0001100011,10]",272,0,496,0,0,8.665000787004828e-4
"/Data.DeBruijn.Thinning/thin/samples1/[4,0b011000,6,0b0001100011,10]",272,0,496,0,0,8.65875044837594e-4
"/Data.DeBruijn.Thinning/thin/samples1/[3,0b001101,6,0b0001100011,10]",272,0,496,0,0,8.746249368414283e-4
"/Data.DeBruijn.Thinning/thin/samples1/[2,0b011011,6,0b0001100011,10]",272,0,496,0,0,8.697919547557831e-4
"/Data.DeBruijn.Thinning/thin/samples1/[3,0b110001,6,0b0001100011,10]",272,0,496,0,0,8.772909641265869e-4
"/Data.DeBruijn.Thinning/thin/samples1/[4,0b101000,6,0b0001100011,10]",272,0,496,0,0,8.638749131932855e-4
"/Data.DeBruijn.Thinning/thin/samples1/[4,0b001100,6,0b0001100011,10]",272,0,496,0,0,8.677499135956168e-4
"/Data.DeBruijn.Thinning/thin/samples1/[2,0b111010,6,0b0001100011,10]",272,0,496,0,0,8.744159713387489e-4
"/Data.DeBruijn.Thinning/thin/samples1/[3,0b101010,6,0b0001100011,10]",272,0,496,0,0,8.731670677661896e-4
"/Data.DeBruijn.Thinning/thin/samples1/[5,0b000010,6,0b0001100011,10]",160,0,496,0,0,8.7162503041327e-4
"/Data.DeBruijn.Thinning/thin/samples1/[3,0b100011,6,0b0001100011,10]",272,0,496,0,0,8.717909222468734e-4
"/Data.DeBruijn.Thinning/thin/samples1/[3,0b100110,6,0b0001100011,10]",272,0,496,0,0,8.740000193938613e-4
"/Data.DeBruijn.Thinning/thin/samples1/[2,0b101101,6,0b0001100011,10]",272,0,496,0,0,8.79625091329217e-4
"/Data.DeBruijn.Thinning/thin/samples1/[3,0b011001,6,0b0001100011,10]",272,0,496,0,0,8.763330988585949e-4
"/Data.DeBruijn.Thinning/thin/samples1/[3,0b010011,6,0b0001100011,10]",272,0,496,0,0,8.79207975231111e-4
"/Data.DeBruijn.Thinning/thin/samples1/[2,0b101110,6,0b0001100011,10]",272,0,496,0,0,8.787079714238644e-4
"/Data.DeBruijn.Thinning/thin/samples1/[5,0b000100,6,0b0001100011,10]",208,0,496,0,0,8.592919912189245e-4
"/Data.DeBruijn.Thinning/thin/samples1/[3,0b101001,6,0b0001100011,10]",272,0,496,48,0,8.791250875219703e-4
"/Data.DeBruijn.Thinning/thin/samples1/[2,0b011101,6,0b0001100011,10]",272,0,496,0,0,8.845420088618994e-4
"/Data.DeBruijn.Thinning/thin/samples1/[2,0b111100,6,0b0001100011,10]",272,0,496,496,0,8.887910516932607e-4
"/Data.DeBruijn.Thinning/thin/samples1/[1,0b011111,6,0b0001100011,10]",272,0,496,64,0,8.852500468492508e-4
"/Data.DeBruijn.Thinning/thin/samples1/[3,0b101100,6,0b0001100011,10]",272,0,496,496,0,8.914159843698144e-4
"/Data.DeBruijn.Thinning/thin/samples1/[2,0b110110,6,0b0001100011,10]",272,0,496,496,0,9.037080453708768e-4
"/Data.DeBruijn.Thinning/thin/samples1/[3,0b110010,6,0b0001100011,10]",272,0,496,496,0,8.94125085324049e-4
"/Data.DeBruijn.Thinning/thin/samples1/[3,0b010110,6,0b0001100011,10]",272,0,496,496,0,8.869579760357738e-4
"/Data.DeBruijn.Thinning/thin/samples1/[3,0b001011,6,0b0001100011,10]",272,0,496,496,0,9.041250450536609e-4
"/Data.DeBruijn.Thinning/thin/samples1/[2,0b011011,6,0b0100110100,10]",336,0,496,496,0,9.099999442696571e-4
"/Data.DeBruijn.Thinning/thin/samples1/[3,0b001101,6,0b0100110100,10]",288,0,496,496,0,9.030839428305626e-4
"/Data.DeBruijn.Thinning/thin/samples1/[3,0b100101,6,0b0100110100,10]",368,0,496,496,0,9.080000454559922e-4
"/Data.DeBruijn.Thinning/thin/samples1/[1,0b101111,6,0b0100110100,10]",368,0,496,496,0,8.832080056890845e-4
"/Data.DeBruijn.Thinning/thin/samples1/[2,0b111001,6,0b0100110100,10]",368,0,496,496,0,9.219169151037931e-4
"/Data.DeBruijn.Thinning/thin/samples1/[4,0b100001,6,0b0100110100,10]",368,0,496,496,0,9.031250374391675e-4
"/Data.DeBruijn.Thinning/thin/samples1/[4,0b001100,6,0b0100110100,10]",288,0,496,496,0,9.351669577881694e-4
"/Data.DeBruijn.Thinning/thin/samples1/[6,0b000000,6,0b0100110100,10]",0,0,480,480,0,8.99916049093008e-4
"/Data.DeBruijn.Thinning/thin/samples1/[3,0b110001,6,0b0100110100,10]",368,0,496,496,0,9.172910358756781e-4
"/Data.DeBruijn.Thinning/thin/samples1/[5,0b000001,6,0b0100110100,10]",48,0,496,496,0,9.04124928638339e-4
"/Data.DeBruijn.Thinning/thin/samples1/[3,0b010110,6,0b0100110100,10]",336,0,496,496,0,9.200409986078739e-4
"/Data.DeBruijn.Thinning/thin/samples1/[4,0b011000,6,0b0100110100,10]",336,0,496,496,0,9.204589296132326e-4
"/Data.DeBruijn.Thinning/thin/samples1/[3,0b100110,6,0b0100110100,10]",368,0,496,496,0,9.147078962996602e-4
"/Data.DeBruijn.Thinning/thin/samples1/[1,0b110111,6,0b0100110100,10]",368,0,496,496,0,8.977910038083792e-4
"/Data.DeBruijn.Thinning/thin/samples1/[4,0b010100,6,0b0100110100,10]",336,0,496,496,0,9.159999899566174e-4
"/Data.DeBruijn.Thinning/thin/samples1/[3,0b110100,6,0b0100110100,10]",368,0,496,496,0,9.232920128852129e-4
"/Data.DeBruijn.Thinning/thin/samples1/[2,0b100111,6,0b0100110100,10]",368,0,496,496,0,9.136250009760261e-4
"/Data.DeBruijn.Thinning/thin/samples1/[2,0b101110,6,0b0100110100,10]",368,0,496,496,0,9.205829119309783e-4
"/Data.DeBruijn.Thinning/thin/samples1/[2,0b110101,6,0b0100110100,10]",368,0,496,496,0,9.252079762518406e-4
"/Data.DeBruijn.Thinning/thin/samples1/[3,0b010011,6,0b0100110100,10]",336,0,496,496,0,9.310829918831587e-4
"/Data.DeBruijn.Thinning/thin/samples1/[2,0b110110,6,0b0100110100,10]",368,0,496,496,0,9.589999681338668e-4
